year_gregorian,country_iso3,gdp_per_capita_ppp,price_level_ratio_official,price_level_ratio_free
1994,EGY,8221.04684774388,0.19865786118197057,
1995,EGY,8423.57817498243,0.2163074836699006,
1996,EGY,8662.33147868251,0.22756524328041933,
1997,EGY,8950.6541069311,0.24599976023531833,
1998,EGY,9245.47890468363,0.2491049972501768,
1999,EGY,9588.8593851379,0.24735818224393463,
2000,EGY,9981.62775081593,0.24585856492758631,
2001,EGY,10117.3331821542,0.21405173558876592,
2002,EGY,10143.5063456555,0.19199715130081157,
2003,EGY,10250.376550149,0.1546120130966604,
2004,EGY,10451.8217511529,0.15876236924260476,
2005,EGY,10700.6090372525,0.1753090485174171,
2006,EGY,11211.8320228671,0.18403557099986823,
2007,EGY,11782.0060717026,0.20524916014414718,
2008,EGY,12391.5847624938,0.23438469239879428,
2009,EGY,12728.0814587564,0.2537700217991309,
2010,EGY,13128.9878334831,0.2722630686753064,
2011,EGY,13082.4263680239,0.28226292568420713,
2012,EGY,13076.8052394876,0.2870054622467872,
2013,EGY,13058.0748238237,0.27022342187033654,
2014,EGY,13136.3656298099,0.30085991397354717,
2015,EGY,13425.9119599492,0.29260305485663196,
2016,EGY,13727.3201600816,0.24928667910718288,
2017,EGY,14018.3605934411,0.17821684474449787,
2018,EGY,14488.2094340261,0.2015599615139147,
2019,EGY,15026.568243683,0.23215531367605738,
2020,EGY,15309.2359881835,0.23447250040401468,
2021,EGY,15579.0160861551,0.24638775665341217,
2022,EGY,16360.390775011,0.20739889599932637,
2023,EGY,16691.3873991962,0.1561519760566069,
2024,EGY,16798.151577838,0.13772322193347156,
2025,EGY,17265.1488604617,0.15405353381623213,
1990,TUR,12184.1995945303,0.4546427419123095,
1991,TUR,12057.9354364382,0.43674027636646984,
1992,TUR,12451.0451197948,0.42430447872099664,
1993,TUR,13174.467116412,0.43506251235628346,
1994,TUR,12343.0041848988,0.32622195110549135,
1995,TUR,13099.2575267612,0.38632296867021676,
1996,TUR,13826.9201097072,0.38051767364102945,
1997,TUR,14631.2958814739,0.3646396470549501,
1998,TUR,14704.3385744207,0.4942885059598407,
1999,TUR,14066.1896257233,0.46913327211094813,
2000,TUR,14856.914625257,0.45039294262725754,
2001,TUR,13872.1287284566,0.3385713402756251,
2002,TUR,14587.894621656,0.3922774929247792,
2003,TUR,15255.7177960689,0.49071441026138196,
2004,TUR,16583.8837094062,0.5556852337601139,
2005,TUR,17902.5966004487,0.6211666363052746,
2006,TUR,18972.0089563632,0.589316383817234,
2007,TUR,19909.083519675,0.6532318763129245,
2008,TUR,19839.5845462269,0.6761009041146079,
2009,TUR,18612.1925231905,0.583663533856219,
2010,TUR,19897.4464836887,0.6124828421347469,
2011,TUR,21760.4291923634,0.5768371439468991,
2012,TUR,22517.7148287875,0.567848253739652,
2013,TUR,24117.3121099839,0.5621976331656894,
2014,TUR,24888.8521742576,0.504675619279581,
2015,TUR,25984.8027306177,0.4272563810286172,
2016,TUR,26489.6436816046,0.4109260359289602,
2017,TUR,28194.688309381,0.3793666892980548,
2018,TUR,28780.3036458151,0.33812859209718515,
2019,TUR,28741.0535082701,0.3237898318807215,
2020,TUR,28976.7179161611,0.30120913859775716,
2021,TUR,32105.5474400506,0.3109046656526989,
2022,TUR,33520.8111384208,0.2729977101792043,
2023,TUR,35069.1701714685,0.3096349190691249,
2024,TUR,36154.490436557,0.3522092849163777,
2025,TUR,37300.7485739354,0.41068819562863956,
