date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source,year_gregorian,indicator_code,country_iso3,description,ilo_source
2011-01-01,,1390,,informal_rate_egy,58.727,percent of employment,ILOSTAT (rplumber.ilo.org),2011,SDG_0831_SEX_ECO_RT_A,EGY,Informal employment share (SDG 8.3.1),BA:582
2012-01-01,,1391,,informal_rate_egy,55.918,percent of employment,ILOSTAT (rplumber.ilo.org),2012,SDG_0831_SEX_ECO_RT_A,EGY,Informal employment share (SDG 8.3.1),BA:582
2013-01-01,,1392,,informal_rate_egy,57.61,percent of employment,ILOSTAT (rplumber.ilo.org),2013,SDG_0831_SEX_ECO_RT_A,EGY,Informal employment share (SDG 8.3.1),BA:582
2015-01-01,,1394,,informal_rate_egy,59.826,percent of employment,ILOSTAT (rplumber.ilo.org),2015,SDG_0831_SEX_ECO_RT_A,EGY,Informal employment share (SDG 8.3.1),BA:582
2016-01-01,,1395,,informal_rate_egy,61.867,percent of employment,ILOSTAT (rplumber.ilo.org),2016,SDG_0831_SEX_ECO_RT_A,EGY,Informal employment share (SDG 8.3.1),BA:582
2017-01-01,,1396,,informal_rate_egy,63.74,percent of employment,ILOSTAT (rplumber.ilo.org),2017,SDG_0831_SEX_ECO_RT_A,EGY,Informal employment share (SDG 8.3.1),BA:582
2019-01-01,,1398,,informal_rate_egy,67.002,percent of employment,ILOSTAT (rplumber.ilo.org),2019,SDG_0831_SEX_ECO_RT_A,EGY,Informal employment share (SDG 8.3.1),BA:582
2023-01-01,,1402,,informal_rate_egy,71.33,percent of employment,ILOSTAT (rplumber.ilo.org),2023,SDG_0831_SEX_ECO_RT_A,EGY,Informal employment share (SDG 8.3.1),BA:582
2024-01-01,,1403,,informal_rate_egy,68.613,percent of employment,ILOSTAT (rplumber.ilo.org),2024,SDG_0831_SEX_ECO_RT_A,EGY,Informal employment share (SDG 8.3.1),BA:582
2000-01-01,,1379,,informal_rate_tur,51.984,percent of employment,ILOSTAT (rplumber.ilo.org),2000,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2001-01-01,,1380,,informal_rate_tur,53.398,percent of employment,ILOSTAT (rplumber.ilo.org),2001,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2002-01-01,,1381,,informal_rate_tur,52.51,percent of employment,ILOSTAT (rplumber.ilo.org),2002,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2003-01-01,,1382,,informal_rate_tur,52.128,percent of employment,ILOSTAT (rplumber.ilo.org),2003,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
